cong,idno,state,cd,statenm,party,name,dwnom1,dwnom2,bootse1,bootse2,corr12,logl,nchoices,errors,gmp
73,349,47,0, NORTH C,100, BAILEY  J.   ,-.064000003,-.58600003,.0328,.1019,.39199999,-69.564194,196,32,.70099998
73,7836,47,0, NORTH C,100, REYNOLDS     ,.029999999,.18799999,.11,.0779,.0713,-92.692131,186,42,.60799998
73,6991,36,0, NORTH D,200, NYE  G.P.    ,.28099999,.972,.088500001,.059700001,.2649,-50.24015,207,18,.78500003
73,3347,36,0, NORTH D,200, FRAZIER  L.  ,.31400001,.98900002,.074500002,.073399998,.1443,-53.880669,212,26,.77600002
73,1224,24,0, OHIO   ,100, BULKLEY  R.  ,-.039000001,-.26199999,.040899999,.050700001,.37239999,-83.56852,207,40,.66799998
73,3124,24,0, OHIO   ,200, FESS  S.D.   ,.29699999,-.417,.183,.20379999,.1992,-36.86237,188,16,.82200003
73,9303,53,0, OKLAHOM,100, THOMAS  J.   ,.018999999,.29499999,.15180001,.059700001,.17550001,-78.480347,190,44,.662
73,3706,53,0, OKLAHOM,100, GORE  T.P.   ,.046,-.186,.036200002,.0341,.12,-99.014183,178,55,.57300001
73,6367,72,0, OREGON ,200, MCNARY  C.   ,.271,.234,.084200002,.0955,.24879999,-91.097214,210,53,.648
73,8880,72,0, OREGON ,200, STEIWER  F.  ,.338,.205,.153,.16680001,.1644,-91.147491,217,55,.65700001
73,7782,14,0, PENNSYL,200, REED  D.A.   ,.23199999,-.51700002,.1912,.1587,.1974,-29.608681,160,11,.83099997
73,2391,14,0, PENNSYL,200, DAVIS  J.J.  ,.28,.167,.108,.1161,.35159999,-40.333759,136,16,.74299997
73,4274,5,0, RHODE I,200, HEBERT  F.   ,.42699999,-.58499998,.1068,.102,.1539,-21.69969,197,12,.89600003
73,6441,5,0, RHODE I,200, METCALF  J.  ,.23899999,-.92500001,.2156,.066799998,.0113,-25.135429,186,12,.87400001
73,1370,48,0, SOUTH C,100, BYRNES  J.   ,-.266,-.60799998,.093000002,.082000002,.4594,-41.713879,209,11,.81900001
73,8613,48,0, SOUTH C,100, SMITH  E.D.  ,-.118,-.43399999,.0177,.0328,.33239999,-81.054787,177,42,.63300002
73,6954,37,0, SOUTH D,200, NORBECK  P.  ,.25999999,.88800001,.091499999,.1066,.25170001,-28.022539,82,10,.71100003
73,1234,37,0, SOUTH D,100, BULOW  W.J.  ,0,.32499999,.17309999,.14120001,.13060001,-66.431931,199,37,.71600002
73,6293,54,0, TENNESS,100, MCKELLAR     ,-.147,-.245,.069499999,.032299999,.3423,-60.41938,211,27,.75099999
73,319,54,0, TENNESS,100, BACHMAN  N.  ,-.104,-.15700001,.1195,.090800002,.1363,-71.14003,205,34,.70700002
73,8446,49,0, TEXAS  ,100, SHEPPARD     ,-.289,-.322,.1617,.2014,.2112,-43.945229,215,22,.815
73,1986,49,0, TEXAS  ,100, CONNALLY     ,-.023,.074000001,.1139,.065499999,.2103,-87.785461,211,47,.66000003
73,9291,67,0, UTAH   ,100, THOMAS  E.   ,-.052999999,.061999999,.1908,.098800004,.2376,-72.496918,206,28,.70300001
73,5274,67,0, UTAH   ,100, KING  W.H.   ,-.13500001,-.71100003,.036200002,.089400001,.4064,-75.44017,167,38,.63700002
73,296,6,0, VERMONT,200, AUSTIN  W.   ,.193,-.31900001,.1696,.17479999,.26069999,-47.626671,201,20,.78899997
73,2302,6,0, VERMONT,200, DALE  P.H.   ,.296,-.07,.1305,.1868,.3775,-12.52023,45,4,.75700003
73,3558,6,0, VERMONT,200, GIBSON  E.   ,.186,-.046999998,.12720001,.1574,.2034,-46.636459,113,20,.662
73,1365,40,0, VIRGINI,100, BYRD  H.F.   ,.068999998,-.098999999,.0173,.106,.31810001,-97.540077,190,46,.59799999
73,3625,40,0, VIRGINI,100, GLASS  C.    ,-.221,-.83999997,.0222,.048799999,.354,-61.476349,137,31,.63800001
73,2595,73,0, WASHING,100, DILL  C.C.   ,.078000002,.32300001,.0995,.088200003,.079700001,-94.262016,203,51,.62900001
73,843,73,0, WASHING,100, BONE  H.T.   ,.119,.76999998,.24250001,.1928,-.086199999,-42.087212,185,21,.79699999
73,4190,56,0, WEST VI,200, HATFIELD     ,.45500001,.36399999,.1072,.162,.29519999,-51.282509,193,24,.76700002
73,6856,56,0, WEST VI,100, NEELY  M.M.  ,-.14,.131,.1716,.1236,.1524,-91.649803,216,40,.65399998
73,5402,25,0, WISCONS,200, LAFOLLETTE   ,.17900001,.94800001,.1701,.0436,.092299998,-50.02174,206,23,.78399998
73,2747,25,0, WISCONS,100, DUFFY  F.R.  ,-.017999999,.021,.090300001,.068099998,.1656,-72.646088,213,28,.71100003
73,7070,68,0, WYOMING,100, O'MAHONEY    ,.016000001,-.097999997,.088399999,.046100002,.1939,-48.862881,125,26,.676
73,1503,68,0, WYOMING,200, CAREY  R.D.  ,.35299999,.054000001,.15019999,.1962,.32390001,-48.30011,198,22,.78399998
73,5172,68,0, WYOMING,100, KENDRICK     ,-.017000001,-.29499999,.029999999,.078100003,.36000001,-47.948441,77,23,.53600001
74,743,41,0, ALABAMA,100, BLACK        ,-.139,.18799999,.2536,.19509999,.070100002,-47.191551,163,23,.74900001
74,404,41,0, ALABAMA,100, BANKHEAD     ,-.14300001,-.177,.1435,.084399998,.30090001,-42.22945,135,22,.73100001
74,273,61,0, ARIZONA,100, ASHURST      ,-.125,-.34,.072099999,.069899999,.45590001,-46.23634,134,16,.708
74,4227,61,0, ARIZONA,100, HAYDEN       ,-.068000004,-.041999999,.1195,.0504,.40830001,-65.870934,176,31,.68800002
74,7986,42,0, ARKANSA,100, ROBINSON     ,-.30399999,-.602,.1128,.16580001,.40490001,-45.527401,182,19,.77899998
74,1497,42,0, ARKANSA,100, CARAWAY      ,.022,.35499999,.16410001,.0779,.090800002,-55.603668,146,29,.68300003
74,4962,71,0, CALIFOR,200, JOHNSON      ,.32800001,.61699998,.054000001,.071800001,.13169999,-97.198982,155,50,.53399998
74,6119,71,0, CALIFOR,100, MCADOO       ,-.0070000002,.124,.1168,.075800002,.2061,-34.651989,106,15,.72100002
74,2083,62,0, COLORAD,100, COSTIGAN     ,.046999998,.65399998,.2052,.1455,-.1957,-48.861401,138,25,.70200002
74,22,62,0, COLORAD,100, ADAMS        ,.046999998,.0020000001,.0383,.037300002,.1441,-95.388672,189,49,.60399997
74,5752,1,0, CONNECT,100, LONERGAN     ,-.030999999,-.28,.026900001,.063900001,.3123,-73.977089,185,33,.67000002
74,5945,1,0, CONNECT,100, MALONEY      ,.052000001,-.054000001,.027000001,.065399997,.43040001,-78.827438,164,35,.61799997
74,9439,11,0, DELAWAR,200, TOWNSEND     ,.33700001,-.22400001,.19660001,.23,.071400002,-22.48167,155,8,.86500001
74,4177,11,0, DELAWAR,200, HASTINGS     ,.486,-.373,.14399999,.30520001,.075499997,-10.72672,150,5,.93099999
74,9456,43,0, FLORIDA,100, TRAMMELL     ,-.061999999,-.264,.068899997,.065300003,.40279999,-94.893562,134,44,.493
